"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Alabama"	"01"	"1990"	"1990"	1024198
	"Alabama"	"01"	"1991"	"1991"	1040280
	"Alabama"	"01"	"1992"	"1992"	1060627
	"Alabama"	"01"	"1993"	"1993"	1081479
	"Alabama"	"01"	"1994"	"1994"	1099593
	"Alabama"	"01"	"1995"	"1995"	1114033
	"Alabama"	"01"	"1996"	"1996"	1125093
	"Alabama"	"01"	"1997"	"1997"	1140120
	"Alabama"	"01"	"1998"	"1998"	1152248
	"Alabama"	"01"	"1999"	"1999"	1162673
	"Alabama"	"01"	"2000"	"2000"	1170617
	"Alabama"	"01"	"2001"	"2001"	1177479
	"Alabama"	"01"	"2002"	"2002"	1182591
	"Alabama"	"01"	"2003"	"2003"	1190183
	"Alabama"	"01"	"2004"	"2004"	1199192
	"Alabama"	"01"	"2005"	"2005"	1210903
	"Alabama"	"01"	"2006"	"2006"	1230534
	"Alabama"	"01"	"2007"	"2007"	1243867
	"Alabama"	"01"	"2008"	"2008"	1259177
	"Alabama"	"01"	"2009"	"2009"	1271247
	"Alabama"	"01"	"2010"	"2010"	1281634
	"Alabama"	"01"	"2011"	"2011"	1288707
	"Alabama"	"01"	"2012"	"2012"	1298786
	"Alabama"	"01"	"2013"	"2013"	1308730
	"Alabama"	"01"	"2014"	"2014"	1316194
	"Alabama"	"01"	"2015"	"2015"	1324193
	"Alabama"	"01"	"2016"	"2016"	1329793
	"Alabama"	"01"	"2017"	"2017"	1335123
	"Alabama"	"01"	"2018"	"2018"	1340474
	"Alabama"	"01"	"2019"	"2019"	1345267
	"Alabama"	"01"	"2020"	"2020"	1350111
	"Alaska"	"02"	"1990"	"1990"	22665
	"Alaska"	"02"	"1991"	"1991"	23030
	"Alaska"	"02"	"1992"	"1992"	24744
	"Alaska"	"02"	"1993"	"1993"	26578
	"Alaska"	"02"	"1994"	"1994"	26129
	"Alaska"	"02"	"1995"	"1995"	24854
	"Alaska"	"02"	"1996"	"1996"	24463
	"Alaska"	"02"	"1997"	"1997"	25352
	"Alaska"	"02"	"1998"	"1998"	26195
	"Alaska"	"02"	"1999"	"1999"	26610
	"Alaska"	"02"	"2000"	"2000"	26707
	"Alaska"	"02"	"2001"	"2001"	27347
	"Alaska"	"02"	"2002"	"2002"	28157
	"Alaska"	"02"	"2003"	"2003"	28196
	"Alaska"	"02"	"2004"	"2004"	28663
	"Alaska"	"02"	"2005"	"2005"	28771
	"Alaska"	"02"	"2006"	"2006"	29078
	"Alaska"	"02"	"2007"	"2007"	29592
	"Alaska"	"02"	"2008"	"2008"	30075
	"Alaska"	"02"	"2009"	"2009"	30573
	"Alaska"	"02"	"2010"	"2010"	31750
	"Alaska"	"02"	"2011"	"2011"	32700
	"Alaska"	"02"	"2012"	"2012"	34085
	"Alaska"	"02"	"2013"	"2013"	34987
	"Alaska"	"02"	"2014"	"2014"	34958
	"Alaska"	"02"	"2015"	"2015"	35203
	"Alaska"	"02"	"2016"	"2016"	36008
	"Alaska"	"02"	"2017"	"2017"	36444
	"Alaska"	"02"	"2018"	"2018"	36516
	"Alaska"	"02"	"2019"	"2019"	36330
	"Alaska"	"02"	"2020"	"2020"	36078
	"Arizona"	"04"	"1990"	"1990"	115796
	"Arizona"	"04"	"1991"	"1991"	121994
	"Arizona"	"04"	"1992"	"1992"	127617
	"Arizona"	"04"	"1993"	"1993"	133252
	"Arizona"	"04"	"1994"	"1994"	141948
	"Arizona"	"04"	"1995"	"1995"	150424
	"Arizona"	"04"	"1996"	"1996"	157868
	"Arizona"	"04"	"1997"	"1997"	164445
	"Arizona"	"04"	"1998"	"1998"	171440
	"Arizona"	"04"	"1999"	"1999"	177619
	"Arizona"	"04"	"2000"	"2000"	184843
	"Arizona"	"04"	"2001"	"2001"	194201
	"Arizona"	"04"	"2002"	"2002"	204176
	"Arizona"	"04"	"2003"	"2003"	213993
	"Arizona"	"04"	"2004"	"2004"	226956
	"Arizona"	"04"	"2005"	"2005"	243074
	"Arizona"	"04"	"2006"	"2006"	262150
	"Arizona"	"04"	"2007"	"2007"	278537
	"Arizona"	"04"	"2008"	"2008"	294617
	"Arizona"	"04"	"2009"	"2009"	308020
	"Arizona"	"04"	"2010"	"2010"	317872
	"Arizona"	"04"	"2011"	"2011"	326863
	"Arizona"	"04"	"2012"	"2012"	337789
	"Arizona"	"04"	"2013"	"2013"	348298
	"Arizona"	"04"	"2014"	"2014"	360255
	"Arizona"	"04"	"2015"	"2015"	373741
	"Arizona"	"04"	"2016"	"2016"	389062
	"Arizona"	"04"	"2017"	"2017"	402977
	"Arizona"	"04"	"2018"	"2018"	418432
	"Arizona"	"04"	"2019"	"2019"	434571
	"Arizona"	"04"	"2020"	"2020"	450623
	"Arkansas"	"05"	"1990"	"1990"	375370
	"Arkansas"	"05"	"1991"	"1991"	380194
	"Arkansas"	"05"	"1992"	"1992"	386732
	"Arkansas"	"05"	"1993"	"1993"	393794
	"Arkansas"	"05"	"1994"	"1994"	398538
	"Arkansas"	"05"	"1995"	"1995"	404627
	"Arkansas"	"05"	"1996"	"1996"	411450
	"Arkansas"	"05"	"1997"	"1997"	416292
	"Arkansas"	"05"	"1998"	"1998"	420780
	"Arkansas"	"05"	"1999"	"1999"	424438
	"Arkansas"	"05"	"2000"	"2000"	427259
	"Arkansas"	"05"	"2001"	"2001"	429929
	"Arkansas"	"05"	"2002"	"2002"	432330
	"Arkansas"	"05"	"2003"	"2003"	435025
	"Arkansas"	"05"	"2004"	"2004"	438712
	"Arkansas"	"05"	"2005"	"2005"	442674
	"Arkansas"	"05"	"2006"	"2006"	450382
	"Arkansas"	"05"	"2007"	"2007"	453433
	"Arkansas"	"05"	"2008"	"2008"	458375
	"Arkansas"	"05"	"2009"	"2009"	462207
	"Arkansas"	"05"	"2010"	"2010"	467425
	"Arkansas"	"05"	"2011"	"2011"	470981
	"Arkansas"	"05"	"2012"	"2012"	473397
	"Arkansas"	"05"	"2013"	"2013"	476299
	"Arkansas"	"05"	"2014"	"2014"	478955
	"Arkansas"	"05"	"2015"	"2015"	482555
	"Arkansas"	"05"	"2016"	"2016"	486032
	"Arkansas"	"05"	"2017"	"2017"	488611
	"Arkansas"	"05"	"2018"	"2018"	490916
	"Arkansas"	"05"	"2019"	"2019"	493205
	"Arkansas"	"05"	"2020"	"2020"	494526
	"California"	"06"	"1990"	"1990"	2322371
	"California"	"06"	"1991"	"1991"	2361537
	"California"	"06"	"1992"	"1992"	2394610
	"California"	"06"	"1993"	"1993"	2406609
	"California"	"06"	"1994"	"1994"	2411731
	"California"	"06"	"1995"	"1995"	2418634
	"California"	"06"	"1996"	"1996"	2434897
	"California"	"06"	"1997"	"1997"	2455408
	"California"	"06"	"1998"	"1998"	2477681
	"California"	"06"	"1999"	"1999"	2502469
	"California"	"06"	"2000"	"2000"	2523792
	"California"	"06"	"2001"	"2001"	2547829
	"California"	"06"	"2002"	"2002"	2567326
	"California"	"06"	"2003"	"2003"	2585567
	"California"	"06"	"2004"	"2004"	2603152
	"California"	"06"	"2005"	"2005"	2615407
	"California"	"06"	"2006"	"2006"	2626937
	"California"	"06"	"2007"	"2007"	2639369
	"California"	"06"	"2008"	"2008"	2662354
	"California"	"06"	"2009"	"2009"	2691724
	"California"	"06"	"2010"	"2010"	2722583
	"California"	"06"	"2011"	"2011"	2740917
	"California"	"06"	"2012"	"2012"	2757917
	"California"	"06"	"2013"	"2013"	2772458
	"California"	"06"	"2014"	"2014"	2793879
	"California"	"06"	"2015"	"2015"	2811957
	"California"	"06"	"2016"	"2016"	2826208
	"California"	"06"	"2017"	"2017"	2842207
	"California"	"06"	"2018"	"2018"	2855036
	"California"	"06"	"2019"	"2019"	2863760
	"California"	"06"	"2020"	"2020"	2871450
	"Colorado"	"08"	"1990"	"1990"	136626
	"Colorado"	"08"	"1991"	"1991"	142090
	"Colorado"	"08"	"1992"	"1992"	147912
	"Colorado"	"08"	"1993"	"1993"	153962
	"Colorado"	"08"	"1994"	"1994"	158896
	"Colorado"	"08"	"1995"	"1995"	162559
	"Colorado"	"08"	"1996"	"1996"	166672
	"Colorado"	"08"	"1997"	"1997"	171306
	"Colorado"	"08"	"1998"	"1998"	177472
	"Colorado"	"08"	"1999"	"1999"	183070
	"Colorado"	"08"	"2000"	"2000"	189870
	"Colorado"	"08"	"2001"	"2001"	196376
	"Colorado"	"08"	"2002"	"2002"	201149
	"Colorado"	"08"	"2003"	"2003"	203049
	"Colorado"	"08"	"2004"	"2004"	208322
	"Colorado"	"08"	"2005"	"2005"	211476
	"Colorado"	"08"	"2006"	"2006"	218810
	"Colorado"	"08"	"2007"	"2007"	224746
	"Colorado"	"08"	"2008"	"2008"	231792
	"Colorado"	"08"	"2009"	"2009"	239309
	"Colorado"	"08"	"2010"	"2010"	247243
	"Colorado"	"08"	"2011"	"2011"	252870
	"Colorado"	"08"	"2012"	"2012"	259425
	"Colorado"	"08"	"2013"	"2013"	266716
	"Colorado"	"08"	"2014"	"2014"	274825
	"Colorado"	"08"	"2015"	"2015"	283486
	"Colorado"	"08"	"2016"	"2016"	290959
	"Colorado"	"08"	"2017"	"2017"	296989
	"Colorado"	"08"	"2018"	"2018"	304935
	"Colorado"	"08"	"2019"	"2019"	310725
	"Colorado"	"08"	"2020"	"2020"	316428
	"Connecticut"	"09"	"1990"	"1990"	283440
	"Connecticut"	"09"	"1991"	"1991"	291762
	"Connecticut"	"09"	"1992"	"1992"	296477
	"Connecticut"	"09"	"1993"	"1993"	303637
	"Connecticut"	"09"	"1994"	"1994"	308487
	"Connecticut"	"09"	"1995"	"1995"	313387
	"Connecticut"	"09"	"1996"	"1996"	319188
	"Connecticut"	"09"	"1997"	"1997"	325427
	"Connecticut"	"09"	"1998"	"1998"	333828
	"Connecticut"	"09"	"1999"	"1999"	341801
	"Connecticut"	"09"	"2000"	"2000"	349054
	"Connecticut"	"09"	"2001"	"2001"	355440
	"Connecticut"	"09"	"2002"	"2002"	363022
	"Connecticut"	"09"	"2003"	"2003"	370417
	"Connecticut"	"09"	"2004"	"2004"	375875
