"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Alabama"	"01"	"1990"	"1990"	24107
	"Alabama"	"01"	"1991"	"1991"	25012
	"Alabama"	"01"	"1992"	"1992"	26745
	"Alabama"	"01"	"1993"	"1993"	29537
	"Alabama"	"01"	"1994"	"1994"	33152
	"Alabama"	"01"	"1995"	"1995"	37268
	"Alabama"	"01"	"1996"	"1996"	42796
	"Alabama"	"01"	"1997"	"1997"	49427
	"Alabama"	"01"	"1998"	"1998"	56899
	"Alabama"	"01"	"1999"	"1999"	65183
	"Alabama"	"01"	"2000"	"2000"	77016
	"Alabama"	"01"	"2001"	"2001"	85722
	"Alabama"	"01"	"2002"	"2002"	94179
	"Alabama"	"01"	"2003"	"2003"	103472
	"Alabama"	"01"	"2004"	"2004"	113284
	"Alabama"	"01"	"2005"	"2005"	124822
	"Alabama"	"01"	"2006"	"2006"	137842
	"Alabama"	"01"	"2007"	"2007"	150652
	"Alabama"	"01"	"2008"	"2008"	163709
	"Alabama"	"01"	"2009"	"2009"	176518
	"Alabama"	"01"	"2010"	"2010"	186094
	"Alabama"	"01"	"2011"	"2011"	189328
	"Alabama"	"01"	"2012"	"2012"	189889
	"Alabama"	"01"	"2013"	"2013"	192088
	"Alabama"	"01"	"2014"	"2014"	194360
	"Alabama"	"01"	"2015"	"2015"	198121
	"Alabama"	"01"	"2016"	"2016"	203666
	"Alabama"	"01"	"2017"	"2017"	208724
	"Alabama"	"01"	"2018"	"2018"	215281
	"Alabama"	"01"	"2019"	"2019"	220789
	"Alabama"	"01"	"2020"	"2020"	226557
	"Alaska"	"02"	"1990"	"1990"	17228
	"Alaska"	"02"	"1991"	"1991"	17838
	"Alaska"	"02"	"1992"	"1992"	18617
	"Alaska"	"02"	"1993"	"1993"	19122
	"Alaska"	"02"	"1994"	"1994"	19828
	"Alaska"	"02"	"1995"	"1995"	20423
	"Alaska"	"02"	"1996"	"1996"	21067
	"Alaska"	"02"	"1997"	"1997"	22196
	"Alaska"	"02"	"1998"	"1998"	22831
	"Alaska"	"02"	"1999"	"1999"	23997
	"Alaska"	"02"	"2000"	"2000"	25963
	"Alaska"	"02"	"2001"	"2001"	27989
	"Alaska"	"02"	"2002"	"2002"	29943
	"Alaska"	"02"	"2003"	"2003"	31417
	"Alaska"	"02"	"2004"	"2004"	32879
	"Alaska"	"02"	"2005"	"2005"	34422
	"Alaska"	"02"	"2006"	"2006"	35505
	"Alaska"	"02"	"2007"	"2007"	36229
	"Alaska"	"02"	"2008"	"2008"	37256
	"Alaska"	"02"	"2009"	"2009"	38232
	"Alaska"	"02"	"2010"	"2010"	40011
	"Alaska"	"02"	"2011"	"2011"	42078
	"Alaska"	"02"	"2012"	"2012"	45121
	"Alaska"	"02"	"2013"	"2013"	47540
	"Alaska"	"02"	"2014"	"2014"	49104
	"Alaska"	"02"	"2015"	"2015"	50380
	"Alaska"	"02"	"2016"	"2016"	51835
	"Alaska"	"02"	"2017"	"2017"	53005
	"Alaska"	"02"	"2018"	"2018"	53369
	"Alaska"	"02"	"2019"	"2019"	53622
	"Alaska"	"02"	"2020"	"2020"	53556
	"Arizona"	"04"	"1990"	"1990"	697660
	"Arizona"	"04"	"1991"	"1991"	737846
	"Arizona"	"04"	"1992"	"1992"	787515
	"Arizona"	"04"	"1993"	"1993"	842872
	"Arizona"	"04"	"1994"	"1994"	899570
	"Arizona"	"04"	"1995"	"1995"	965163
	"Arizona"	"04"	"1996"	"1996"	1028042
	"Arizona"	"04"	"1997"	"1997"	1091765
	"Arizona"	"04"	"1998"	"1998"	1162762
	"Arizona"	"04"	"1999"	"1999"	1235716
	"Arizona"	"04"	"2000"	"2000"	1309389
	"Arizona"	"04"	"2001"	"2001"	1366916
	"Arizona"	"04"	"2002"	"2002"	1426437
	"Arizona"	"04"	"2003"	"2003"	1480908
	"Arizona"	"04"	"2004"	"2004"	1541006
	"Arizona"	"04"	"2005"	"2005"	1618339
	"Arizona"	"04"	"2006"	"2006"	1701963
	"Arizona"	"04"	"2007"	"2007"	1773645
	"Arizona"	"04"	"2008"	"2008"	1830866
	"Arizona"	"04"	"2009"	"2009"	1866820
	"Arizona"	"04"	"2010"	"2010"	1903368
	"Arizona"	"04"	"2011"	"2011"	1936020
	"Arizona"	"04"	"2012"	"2012"	1974324
	"Arizona"	"04"	"2013"	"2013"	2013059
	"Arizona"	"04"	"2014"	"2014"	2058295
	"Arizona"	"04"	"2015"	"2015"	2107701
	"Arizona"	"04"	"2016"	"2016"	2157151
	"Arizona"	"04"	"2017"	"2017"	2207320
	"Arizona"	"04"	"2018"	"2018"	2258904
	"Arizona"	"04"	"2019"	"2019"	2313157
	"Arizona"	"04"	"2020"	"2020"	2366919
	"Arkansas"	"05"	"1990"	"1990"	19208
	"Arkansas"	"05"	"1991"	"1991"	21067
	"Arkansas"	"05"	"1992"	"1992"	23129
	"Arkansas"	"05"	"1993"	"1993"	26801
	"Arkansas"	"05"	"1994"	"1994"	31346
	"Arkansas"	"05"	"1995"	"1995"	38738
	"Arkansas"	"05"	"1996"	"1996"	48681
	"Arkansas"	"05"	"1997"	"1997"	55831
	"Arkansas"	"05"	"1998"	"1998"	64811
	"Arkansas"	"05"	"1999"	"1999"	74627
	"Arkansas"	"05"	"2000"	"2000"	87804
	"Arkansas"	"05"	"2001"	"2001"	96526
	"Arkansas"	"05"	"2002"	"2002"	105694
	"Arkansas"	"05"	"2003"	"2003"	115624
	"Arkansas"	"05"	"2004"	"2004"	125103
	"Arkansas"	"05"	"2005"	"2005"	137148
	"Arkansas"	"05"	"2006"	"2006"	149583
	"Arkansas"	"05"	"2007"	"2007"	160397
	"Arkansas"	"05"	"2008"	"2008"	170231
	"Arkansas"	"05"	"2009"	"2009"	179039
	"Arkansas"	"05"	"2010"	"2010"	187452
	"Arkansas"	"05"	"2011"	"2011"	193404
	"Arkansas"	"05"	"2012"	"2012"	198760
	"Arkansas"	"05"	"2013"	"2013"	203416
	"Arkansas"	"05"	"2014"	"2014"	207678
	"Arkansas"	"05"	"2015"	"2015"	212796
	"Arkansas"	"05"	"2016"	"2016"	218384
	"Arkansas"	"05"	"2017"	"2017"	225078
	"Arkansas"	"05"	"2018"	"2018"	230632
	"Arkansas"	"05"	"2019"	"2019"	236539
	"Arkansas"	"05"	"2020"	"2020"	243163
	"California"	"06"	"1990"	"1990"	7779607
	"California"	"06"	"1991"	"1991"	8092243
	"California"	"06"	"1992"	"1992"	8421511
	"California"	"06"	"1993"	"1993"	8751621
	"California"	"06"	"1994"	"1994"	9053073
	"California"	"06"	"1995"	"1995"	9316255
	"California"	"06"	"1996"	"1996"	9617003
	"California"	"06"	"1997"	"1997"	9958475
	"California"	"06"	"1998"	"1998"	10318932
	"California"	"06"	"1999"	"1999"	10682606
	"California"	"06"	"2000"	"2000"	11054553
	"California"	"06"	"2001"	"2001"	11383962
	"California"	"06"	"2002"	"2002"	11705795
	"California"	"06"	"2003"	"2003"	12030015
	"California"	"06"	"2004"	"2004"	12335567
	"California"	"06"	"2005"	"2005"	12619831
	"California"	"06"	"2006"	"2006"	12876105
	"California"	"06"	"2007"	"2007"	13136305
	"California"	"06"	"2008"	"2008"	13447993
	"California"	"06"	"2009"	"2009"	13759867
	"California"	"06"	"2010"	"2010"	14060961
	"California"	"06"	"2011"	"2011"	14266621
	"California"	"06"	"2012"	"2012"	14449375
	"California"	"06"	"2013"	"2013"	14629407
	"California"	"06"	"2014"	"2014"	14811923
	"California"	"06"	"2015"	"2015"	14987776
	"California"	"06"	"2016"	"2016"	15151999
	"California"	"06"	"2017"	"2017"	15291922
	"California"	"06"	"2018"	"2018"	15402735
	"California"	"06"	"2019"	"2019"	15488144
	"California"	"06"	"2020"	"2020"	15569780
	"Colorado"	"08"	"1990"	"1990"	429571
	"Colorado"	"08"	"1991"	"1991"	448315
	"Colorado"	"08"	"1992"	"1992"	471616
	"Colorado"	"08"	"1993"	"1993"	499975
	"Colorado"	"08"	"1994"	"1994"	526626
	"Colorado"	"08"	"1995"	"1995"	555987
	"Colorado"	"08"	"1996"	"1996"	587035
	"Colorado"	"08"	"1997"	"1997"	622436
	"Colorado"	"08"	"1998"	"1998"	658967
	"Colorado"	"08"	"1999"	"1999"	702024
	"Colorado"	"08"	"2000"	"2000"	745292
	"Colorado"	"08"	"2001"	"2001"	783269
	"Colorado"	"08"	"2002"	"2002"	817023
	"Colorado"	"08"	"2003"	"2003"	842340
	"Colorado"	"08"	"2004"	"2004"	864744
	"Colorado"	"08"	"2005"	"2005"	892419
	"Colorado"	"08"	"2006"	"2006"	923306
	"Colorado"	"08"	"2007"	"2007"	954181
	"Colorado"	"08"	"2008"	"2008"	984899
	"Colorado"	"08"	"2009"	"2009"	1015491
	"Colorado"	"08"	"2010"	"2010"	1044571
	"Colorado"	"08"	"2011"	"2011"	1069628
	"Colorado"	"08"	"2012"	"2012"	1088444
	"Colorado"	"08"	"2013"	"2013"	1108710
	"Colorado"	"08"	"2014"	"2014"	1131377
	"Colorado"	"08"	"2015"	"2015"	1158286
	"Colorado"	"08"	"2016"	"2016"	1182889
	"Colorado"	"08"	"2017"	"2017"	1207176
	"Colorado"	"08"	"2018"	"2018"	1234141
	"Colorado"	"08"	"2019"	"2019"	1255050
	"Colorado"	"08"	"2020"	"2020"	1274247
	"Connecticut"	"09"	"1990"	"1990"	214806
	"Connecticut"	"09"	"1991"	"1991"	224821
	"Connecticut"	"09"	"1992"	"1992"	232553
	"Connecticut"	"09"	"1993"	"1993"	242454
	"Connecticut"	"09"	"1994"	"1994"	251248
	"Connecticut"	"09"	"1995"	"1995"	260348
	"Connecticut"	"09"	"1996"	"1996"	271880
	"Connecticut"	"09"	"1997"	"1997"	283793
	"Connecticut"	"09"	"1998"	"1998"	294955
	"Connecticut"	"09"	"1999"	"1999"	308549
	"Connecticut"	"09"	"2000"	"2000"	323852
	"Connecticut"	"09"	"2001"	"2001"	338119
	"Connecticut"	"09"	"2002"	"2002"	353717
	"Connecticut"	"09"	"2003"	"2003"	369302
	"Connecticut"	"09"	"2004"	"2004"	382912
	"Connecticut"	"09"	"2005"	"2005"	396323
	"Connecticut"	"09"	"2006"	"2006"	412867
	"Connecticut"	"09"	"2007"	"2007"	429328
	"Connecticut"	"09"	"2008"	"2008"	446776
	"Connecticut"	"09"	"2009"	"2009"	465486
	"Connecticut"	"09"	"2010"	"2010"	482401
	"Connecticut"	"09"	"2011"	"2011"	496817
	"Connecticut"	"09"	"2012"	"2012"	510995
	"Connecticut"	"09"	"2013"	"2013"	523790
	"Connecticut"	"09"	"2014"	"2014"	536001
	"Connecticut"	"09"	"2015"	"2015"	546931
	"Connecticut"	"09"	"2016"	"2016"	558687
	"Connecticut"	"09"	"2017"	"2017"	573050
	"Connecticut"	"09"	"2018"	"2018"	590328
	"Connecticut"	"09"	"2019"	"2019"	601081
	"Connecticut"	"09"	"2020"	"2020"	612929
	"Delaware"	"10"	"1990"	"1990"	16031
	"Delaware"	"10"	"1991"	"1991"	17275
	"Delaware"	"10"	"1992"	"1992"	18388
	"Delaware"	"10"	"1993"	"1993"	19967
	"Delaware"	"10"	"1994"	"1994"	22000
	"Delaware"	"10"	"1995"	"1995"	24137
	"Delaware"	"10"	"1996"	"1996"	26340
	"Delaware"	"10"	"1997"	"1997"	28775
	"Delaware"	"10"	"1998"	"1998"	31514
	"Delaware"	"10"	"1999"	"1999"	34817
	"Delaware"	"10"	"2000"	"2000"	37834
	"Delaware"	"10"	"2001"	"2001"	40908
	"Delaware"	"10"	"2002"	"2002"	44187
	"Delaware"	"10"	"2003"	"2003"	47599
	"Delaware"	"10"	"2004"	"2004"	51274
	"Delaware"	"10"	"2005"	"2005"	55375
	"Delaware"	"10"	"2006"	"2006"	59478
	"Delaware"	"10"	"2007"	"2007"	63149
	"Delaware"	"10"	"2008"	"2008"	66725
	"Delaware"	"10"	"2009"	"2009"	70815
	"Delaware"	"10"	"2010"	"2010"	73735
	"Delaware"	"10"	"2011"	"2011"	75971
	"Delaware"	"10"	"2012"	"2012"	77899
	"Delaware"	"10"	"2013"	"2013"	79520
	"Delaware"	"10"	"2014"	"2014"	81436
	"Delaware"	"10"	"2015"	"2015"	83478
	"Delaware"	"10"	"2016"	"2016"	85558
	"Delaware"	"10"	"2017"	"2017"	88549
	"Delaware"	"10"	"2018"	"2018"	91407
	"Delaware"	"10"	"2019"	"2019"	94154
	"Delaware"	"10"	"2020"	"2020"	97078
	"District of Columbia"	"11"	"1990"	"1990"	32878
	"District of Columbia"	"11"	"1991"	"1991"	34072
	"District of Columbia"	"11"	"1992"	"1992"	35490
	"District of Columbia"	"11"	"1993"	"1993"	37673
	"District of Columbia"	"11"	"1994"	"1994"	39597
	"District of Columbia"	"11"	"1995"	"1995"	40777
	"District of Columbia"	"11"	"1996"	"1996"	41672
	"District of Columbia"	"11"	"1997"	"1997"	42641
	"District of Columbia"	"11"	"1998"	"1998"	43498
	"District of Columbia"	"11"	"1999"	"1999"	44357
	"District of Columbia"	"11"	"2000"	"2000"	45266
	"District of Columbia"	"11"	"2001"	"2001"	46817
	"District of Columbia"	"11"	"2002"	"2002"	47054
	"District of Columbia"	"11"	"2003"	"2003"	47580
	"District of Columbia"	"11"	"2004"	"2004"	48243
	"District of Columbia"	"11"	"2005"	"2005"	48584
	"District of Columbia"	"11"	"2006"	"2006"	48522
	"District of Columbia"	"11"	"2007"	"2007"	48982
	"District of Columbia"	"11"	"2008"	"2008"	50446
	"District of Columbia"	"11"	"2009"	"2009"	53621
	"District of Columbia"	"11"	"2010"	"2010"	55828
	"District of Columbia"	"11"	"2011"	"2011"	59676
	"District of Columbia"	"11"	"2012"	"2012"	62949
	"District of Columbia"	"11"	"2013"	"2013"	66578
	"District of Columbia"	"11"	"2014"	"2014"	69320
	"District of Columbia"	"11"	"2015"	"2015"	72338
	"District of Columbia"	"11"	"2016"	"2016"	74409
	"District of Columbia"	"11"	"2017"	"2017"	76328
	"District of Columbia"	"11"	"2018"	"2018"	78217
	"District of Columbia"	"11"	"2019"	"2019"	79838
	"District of Columbia"	"11"	"2020"	"2020"	81115
	"Florida"	"12"	"1990"	"1990"	1597237
