state,year,numEvent,numRecords,numIDTheft,numFraud,numEventOCR,numRecordsOCR,treatment,treatmentYear,stateid,logID,lnFraud
AK,2005,0,0,421,1654,0,0,0,2015,1,6.0450053,7.4115562
AK,2006,1,38941,384,1079,0,0,0,2015,1,5.9532433,6.9847164
AK,2007,1,250,321,3362,0,0,0,2015,1,5.7745514,8.1205883
AK,2008,0,0,485,3777,0,0,0,2015,1,6.1862087,8.2369499
AK,2009,2,1002,313,4467,1,501,0,2015,1,5.749393,8.4046965
AK,2010,3,4400,342,2731,1,2000,0,2015,1,5.8377304,7.9127893
AK,2011,4,92351,316,3130,2,2266,0,2015,1,5.7589016,8.0491076
AK,2012,4,5886,378,316,1,2743,0,2015,1,5.9375362,5.7589016
AK,2013,3,5256,384,2826,1,1556,0,2015,1,5.9532433,7.9469714
AK,2014,2,4,542,3011,0,0,0,2015,1,6.2971091,8.0103598
AK,2015,1,553,696,2917,1,553,1,2015,1,6.5467854,7.9786539
AK,2016,1,14719,713,2663,1,14719,1,2015,1,6.5708828,7.8875842
AK,2017,2,501,494,2187,1,501,1,2015,1,6.2045579,7.690743
AK,2018,2,6396,507,3531,3,51447,1,2015,1,6.2304816,8.1696196
AK,2019,0,0,539,3701,2,2508,1,2015,1,6.2915692,8.2166281
AL,2005,0,0,2675,4840,0,0,0,,2,7.8920784,8.4848766
AL,2006,2,36800,2774,4708,0,0,0,,2,7.9284062,8.4572306
AL,2007,6,591452,3226,6719,0,0,0,,2,8.0793085,8.8128433
AL,2008,2,1000000,4323,11427,0,0,0,,2,8.3719358,9.3438215
AL,2009,2,37000,3590,14328,0,0,0,,2,8.1861858,9.5700407
AL,2010,5,5248,3339,13457,3,5233,0,,2,8.1137257,9.507329
AL,2011,15,999552,3942,19304,4,978470,0,,2,8.2796974,9.8681192
AL,2012,9,10817,5060,3942,1,1655,0,,2,8.5293198,8.2796974
AL,2013,5,6400,3610,19447,1,2400,0,,2,8.19174,9.8754997
AL,2014,14,92631,3770,27847,9,85608,0,,2,8.235095,10.234516
AL,2015,3,6063,4973,35865,2,2666,0,,2,8.5119801,10.487545
AL,2016,8,39265,4007,39344,5,23907,0,,2,8.2960472,10.580124
AL,2017,7,36431,3609,14756,6,29189,0,,2,8.1914635,9.599473
AL,2018,2,6550,5241,33539,2,7895,0,,2,8.5644588,10.420494
AL,2019,0,0,8454,29986,4,410901,0,,2,9.0425129,10.308519
AR,2005,1,0,1617,2155,0,0,0,2014,3,7.3889461,7.6760101
AR,2006,2,5000,1537,2428,0,0,0,2014,3,7.3382382,7.7952352
AR,2007,1,48686,1609,3629,0,0,0,2014,3,7.3839893,8.1969881
AR,2008,1,1800,2055,5495,0,0,0,2014,3,7.6285176,8.6117754
AR,2009,1,807000,1864,6577,0,0,0,2014,3,7.5310163,8.7914858
AR,2010,8,47601,1667,6712,1,1000,0,2014,3,7.4193807,8.811801
AR,2011,4,8804,1862,10314,2,4588,0,2014,3,7.5299435,9.241354
AR,2012,4,18484,2195,1862,2,9984,0,2014,3,7.6943927,7.5299435
AR,2013,5,6510,1839,10193,2,3811,0,2014,3,7.5175209,9.2295542
AR,2014,1,50000,2481,13800,0,0,1,2014,3,7.8168201,9.5324965
AR,2015,3,8320,2911,14248,3,8320,1,2014,3,7.9765954,9.5644417
AR,2016,17,183341,2308,15510,9,92056,1,2014,3,7.7445698,9.6493044
AR,2017,4,308000,2084,8515,2,154000,1,2014,3,7.6425242,9.0497017
AR,2018,4,9450,2197,15692,5,214884,1,2014,3,7.695303,9.6609697
AR,2019,0,0,4525,15351,9,122746,1,2014,3,8.417594,9.6390009
AZ,2005,2,40057000,9320,9789,0,0,0,2014,4,9.1400251,9.1891165
AZ,2006,2,2500,9113,9222,0,0,0,2014,4,9.1175671,9.1294556
AZ,2007,4,68870,8709,14390,0,0,0,2014,4,9.0722275,9.574358
AZ,2008,6,41037,9632,20631,0,0,0,2014,4,9.1729498,9.9345989
AZ,2009,0,0,7878,23681,0,0,0,2014,4,8.9719563,10.072471
AZ,2010,13,33598,6549,23999,3,9766,0,2014,4,8.78722,10.085809
AZ,2011,21,44400,6296,32195,8,30039,0,2014,4,8.7478285,10.379598
AZ,2012,20,530133,7032,6296,5,92758,0,2014,4,8.8583689,8.7478285
AZ,2013,16,2649010,6043,33714,5,10914,0,2014,4,8.7068214,10.425698
AZ,2014,13,77172,6460,37836,6,76231,1,2014,4,8.7735395,10.541042
AZ,2015,6,7054,9136,42575,4,6854,1,2014,4,9.1200876,10.659046
AZ,2016,16,4539581,8748,45528,9,4524278,1,2014,4,9.0766945,10.726105
AZ,2017,15,45475,8330,24287,8,35339,1,2014,4,9.0277386,10.097737
AZ,2018,6,8426,8853,51816,8,50274,1,2014,4,9.088625,10.855474
AZ,2019,1,10465,10744,50964,12,70701,1,2014,4,9.282196,10.838895
CA,2005,27,942093,45175,48707,0,0,0,2014,5,10.718321,10.793598
CA,2006,57,3420650,41396,49070,0,0,0,2014,5,10.630963,10.801023
CA,2007,49,4260833,44020,64540,0,0,0,2014,5,10.692422,11.075056
CA,2008,33,97437099,50930,106718,0,0,0,2014,5,10.838227,11.577954
CA,2009,34,32358549,42239,124938,8,25483,0,2014,5,10.651123,11.73558
CA,2010,85,118917464,38148,124072,17,174007,0,2014,5,10.549254,11.728625
CA,2011,94,26104745,38607,155986,15,587813,0,2014,5,10.561214,11.957528
CA,2012,151,239095918,46658,38607,31,347027,0,2014,5,10.750621,10.561214
CA,2013,147,64372911,40404,200870,34,1120864,0,2014,5,10.606709,12.210418
CA,2014,127,147730638,38982,250138,36,348137,1,2014,5,10.570881,12.429772
CA,2015,120,27192267,55305,293662,36,4741201,1,2014,5,10.920637,12.590188
CA,2016,180,4490821202,54744,279887,41,1440214,1,2014,5,10.910441,12.542145
CA,2017,158,195477867,55418,97228,34,449834,1,2014,5,10.922678,11.484824
CA,2018,67,307606829,73668,250509,38,897686,1,2014,5,11.207337,12.431254
CA,2019,9,46330,101639,243620,38,388635,1,2014,5,11.529192,12.403369
CO,2005,8,177490,4535,7551,0,0,0,2014,6,8.4198008,8.9295673
